State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage,Annual Mean Wage (All Occupations),Median Monthly Rent,Value of a Dollar,Adjusted Annual Salary,Monthly Salary Minus Rent,DS All Jobs Multiple,Median Yearly Rent,Yearly Salary Minus Rent,Adjusted Yearly Salary Minus Rent,Median Salary Minus Rent,Adjusted Median Salary Minus Rent,state initial
New York,132826.0,11069.0,2554.0,63.86,63970.0,2050.0,0.87,115558.62,9019.0,2.076379552915429,24600.0,108226.0,94156.62,39370.0,34251.9,NY
New Hampshire,128704.0,10725.0,2475.0,61.88,53950.0,1748.0,0.94,120981.76,8977.0,2.3856163113994437,20976.0,107728.0,101264.31999999999,32974.0,30995.559999999998,NH
California,127388.0,10616.0,2450.0,61.24,61290.0,2518.0,0.87,110827.56,8098.0,2.078446728666993,30216.0,97172.0,84539.64,31074.0,27034.38,CA
Vermont,121599.0,10133.0,2338.0,58.46,51120.0,1599.0,0.98,119167.02,8534.0,2.3786971830985917,19188.0,102411.0,100362.78,31932.0,31293.36,VT
Idaho,120011.0,10001.0,2308.0,57.7,44890.0,1238.0,1.08,129611.88,8763.0,2.6734462018266876,14856.0,105155.0,113567.40000000001,30034.0,32436.72,ID
Massachusetts,119234.0,9936.0,2293.0,57.32,65680.0,2252.0,0.93,110887.62000000001,7684.0,1.8153775883069427,27024.0,92210.0,85755.3,38656.0,35950.08,MA
Wyoming,118644.0,9887.0,2282.0,57.04,49760.0,1149.0,1.03,122203.32,8738.0,2.384324758842444,13788.0,104856.0,108001.68000000001,35972.0,37051.16,WY
Maine,117802.0,9817.0,2265.0,56.64,48470.0,1466.0,1.02,120158.04000000001,8351.0,2.430410563234991,17592.0,100210.0,102214.2,30878.0,31495.56,ME
Washington,116118.0,9677.0,2233.0,55.83,62020.0,1838.0,0.95,110312.09999999999,7839.0,1.8722670106417285,22056.0,94062.0,89358.9,39964.0,37965.799999999996,WA
Hawaii,115887.0,9657.0,2229.0,55.72,54930.0,2481.0,0.84,97345.08,7176.0,2.1097214636810486,29772.0,86115.0,72336.59999999999,25158.0,21132.719999999998,HI
West Virginia,115420.0,9618.0,2220.0,55.49,43420.0,888.0,1.14,131578.8,8730.0,2.6582220175034545,10656.0,104764.0,119430.95999999999,32764.0,37350.96,WV
Pennsylvania,114863.0,9572.0,2209.0,55.22,51340.0,1242.0,1.02,117160.26000000001,8330.0,2.237300350603818,14904.0,99959.0,101958.18000000001,36436.0,37164.72,PA
Connecticut,113138.0,9428.0,2176.0,54.39,62350.0,1803.0,0.92,104086.96,7625.0,1.8145629510825982,21636.0,91502.0,84181.84,40714.0,37456.880000000005,CT
Montana,112260.0,9355.0,2159.0,53.97,45370.0,1234.0,1.06,118995.6,8121.0,2.474322239365219,14808.0,97452.0,103299.12000000001,30562.0,32395.72,MT
New Jersey,111578.0,9298.0,2146.0,53.64,59980.0,2062.0,0.88,98188.64,7236.0,1.8602534178059353,24744.0,86834.0,76413.92,35236.0,31007.68,NJ
Rhode Island,111176.0,9265.0,2138.0,53.45,57220.0,1725.0,1.0,111176.0,7540.0,1.9429570080391472,20700.0,90476.0,90476.0,36520.0,36520.0,RI
Arizona,111106.0,9259.0,2137.0,53.42,50930.0,1356.0,1.04,115550.24,7903.0,2.181543294718241,16272.0,94834.0,98627.36,34658.0,36044.32,AZ
Indiana,110393.0,9199.0,2123.0,53.07,46770.0,1113.0,1.11,122536.23000000001,8086.0,2.360337823391063,13356.0,97037.0,107711.07,33414.0,37089.54,IN
Alaska,110265.0,9189.0,2120.0,53.01,59290.0,1748.0,0.95,104751.75,7441.0,1.8597571259908923,20976.0,89289.0,84824.55,38314.0,36398.299999999996,AK
North Dakota,109553.0,9129.0,2107.0,52.67,50430.0,1290.0,1.09,119412.77,7839.0,2.172377553043823,15480.0,94073.0,102539.57,34950.0,38095.5,ND
Maryland,109466.0,9122.0,2105.0,52.63,60230.0,1807.0,0.91,99614.06,7315.0,1.8174663788809564,21684.0,87782.0,79881.62000000001,38546.0,35076.86,MD
Nevada,109399.0,9117.0,2104.0,52.6,47210.0,1423.0,1.03,112680.97,7694.0,2.3172844736284683,17076.0,92323.0,95092.69,30134.0,31038.02,NV
Tennessee,108001.0,9000.0,2077.0,51.92,45650.0,1153.0,1.11,119881.11000000002,7847.0,2.3658488499452357,13836.0,94165.0,104523.15000000001,31814.0,35313.54,TN
Minnesota,107985.0,8999.0,2077.0,51.92,55890.0,1449.0,1.03,111224.55,7550.0,1.9320987654320987,17388.0,90597.0,93314.91,38502.0,39657.06,MN
Wisconsin,107801.0,8983.0,2073.0,51.83,48850.0,1141.0,1.08,116425.08,7842.0,2.206775844421699,13692.0,94109.0,101637.72,35158.0,37970.64,WI
Nebraska,107698.0,8975.0,2071.0,51.78,48250.0,1253.0,1.1,118467.8,7722.0,2.232082901554404,15036.0,92662.0,101928.20000000001,33214.0,36535.4,NE
Ohio,107217.0,8935.0,2062.0,51.55,49430.0,1113.0,1.12,120083.04000000001,7822.0,2.1690673679951447,13356.0,93861.0,105124.32,36074.0,40402.880000000005,OH
Georgia,107180.0,8932.0,2061.0,51.53,49620.0,1262.0,1.09,116826.20000000001,7670.0,2.1600161225312373,15144.0,92036.0,100319.24,34476.0,37578.840000000004,GA
South Dakota,106355.0,8863.0,2045.0,51.13,42920.0,1213.0,1.13,120181.15,7650.0,2.477982292637465,14556.0,91799.0,103732.87,28364.0,32051.319999999996,SD
Virginia,106287.0,8857.0,2044.0,51.1,56740.0,1452.0,0.98,104161.26,7405.0,1.8732287627775819,17424.0,88863.0,87085.74,39316.0,38529.68,VA
Utah,105643.0,8804.0,2032.0,50.79,49420.0,1526.0,1.03,108812.29000000001,7278.0,2.1376568191015783,18312.0,87331.0,89950.93000000001,31108.0,32041.24,UT
Kentucky,105040.0,8753.0,2020.0,50.5,44020.0,1084.0,1.14,119745.59999999999,7669.0,2.3861880963198545,13008.0,92032.0,104916.48,31012.0,35353.68,KY
Oregon,104770.0,8731.0,2015.0,50.37,53890.0,1707.0,1.0,104770.0,7024.0,1.9441454815364632,20484.0,84286.0,84286.0,33406.0,33406.0,OR
Louisiana,104724.0,8727.0,2014.0,50.35,44170.0,1245.0,1.11,116243.64000000001,7482.0,2.370930495811637,14940.0,89784.0,99660.24,29230.0,32445.300000000003,LA
Alabama,104674.0,8723.0,2013.0,50.32,44930.0,998.0,1.15,120375.09999999999,7725.0,2.329712886712664,11976.0,92698.0,106602.7,32954.0,37897.1,AL
Kansas,103287.0,8607.0,1986.0,49.66,46520.0,1051.0,1.1,113615.70000000001,7556.0,2.2202708512467755,12612.0,90675.0,99742.50000000001,33908.0,37298.8,KS
South Carolina,102872.0,8573.0,1978.0,49.46,44380.0,1209.0,1.11,114187.92000000001,7364.0,2.317981072555205,14508.0,88364.0,98084.04000000001,29872.0,33157.920000000006,SC
Iowa,102856.0,8571.0,1978.0,49.45,47330.0,1057.0,1.11,114170.16,7514.0,2.1731671244453836,12684.0,90172.0,100090.92000000001,34646.0,38457.060000000005,IA
Colorado,102534.0,8544.0,1972.0,49.3,57690.0,1927.0,0.97,99457.98,6617.0,1.7773270930837233,23124.0,79410.0,77027.7,34566.0,33529.02,CO
New Mexico,102450.0,8537.0,1970.0,49.25,47040.0,1200.0,1.07,109621.5,7337.0,2.1779336734693877,14400.0,88050.0,94213.5,32640.0,34924.8,NM
Delaware,102309.0,8526.0,1967.0,49.19,54370.0,1435.0,1.0,102309.0,7091.0,1.8817178591134818,17220.0,85089.0,85089.0,37150.0,37150.0,DE
Florida,101017.0,8418.0,1943.0,48.57,47750.0,1590.0,1.0,101017.0,6828.0,2.115539267015707,19080.0,81937.0,81937.0,28670.0,28670.0,FL
Oklahoma,100096.0,8341.0,1925.0,48.12,45620.0,950.0,1.12,112107.52,7391.0,2.1941253836036827,11400.0,88696.0,99339.52,34220.0,38326.4,OK
Mississippi,96770.0,8064.0,1861.0,46.52,40090.0,1055.0,1.16,112253.2,7009.0,2.413818907458219,12660.0,84110.0,97567.59999999999,27430.0,31818.8,MS
Arkansas,96313.0,8026.0,1852.0,46.3,42690.0,953.0,1.15,110759.95,7073.0,2.2561021316467555,11436.0,84877.0,97608.54999999999,31254.0,35942.1,AR
Michigan,96213.0,8018.0,1850.0,46.26,50780.0,1110.0,1.07,102947.91,6908.0,1.8947026388341868,13320.0,82893.0,88695.51000000001,37460.0,40082.200000000004,MI
Illinois,95790.0,7983.0,1842.0,46.05,55130.0,1463.0,1.01,96747.9,6520.0,1.7375294757845094,17556.0,78234.0,79016.34,37574.0,37949.74,IL
Texas,95236.0,7936.0,1831.0,45.79,50490.0,1455.0,1.03,98093.08,6481.0,1.886234897999604,17460.0,77776.0,80109.28,33030.0,34020.9,TX
Missouri,94147.0,7846.0,1811.0,45.26,47820.0,1047.0,1.12,105444.64000000001,6799.0,1.9687787536595567,12564.0,81583.0,91372.96,35256.0,39486.72,MO
North Carolina,87662.0,7305.0,1686.0,42.15,48550.0,1208.0,1.1,96428.20000000001,6097.0,1.8056024716786818,14496.0,73166.0,80482.6,34054.0,37459.4,NC
